Church Name,Phone Number,Zip Code,Address,Denomination,State,URL
GreenPark Community Church,314-416-7000,63125,"3635 Union Road, St Louis, MO, 63125",Nondenominational,MO,
"Holy Trinity Lutheran Church, ELCA",314-544-3737,63125,"2030 Union Rd, St Louis, MO, 63125",Evangelical Lutheran in America,MO,
Jehovahs Witnesses,314-631-4730,63125,"2352 Telegraph Rd, St Louis, MO, 63125",Jehovah's Witnesses,MO,
Lemay Church Of Christ,314-487-5671,63125,"2709 Lemay Ferry Rd, St Louis, MO, 63125",Church of Christ,MO,
National Catholic Ministries,314-638-2638,63125,"336 E Ripa Ave, St Louis, MO, 63125",Roman Catholic,MO,
Nativity Holy Virgin Church,573-431-4284,63125,"4000 High Aire Dr, St Louis, MO, 63125",Russian Orthodox,MO,
Peace Lutheran Church,314-892-5610,63125,"737 Barracksview Rd, St Louis, MO, 63125",Lutheran - Missouri Synod,MO,
Salvation Army - Carondelet Citadel,314-631-1133,63125,"3601 Weber Rd, St Louis, MO, 63125",Salvation Army,MO,
South Side General Baptist Church,314-638-4110,63125,"754 Regina Ave, St Louis, MO, 63125",Baptist,MO,
Southside Seventh Day Adventist Church,314-544-0710,63125,"4108 Reavis Barracks Rd, St Louis, MO, 63125",Seventh-Day Adventist,MO,
Advent Episcopal Church,314-843-0123,63126,"9373 Garber Rd, St Louis, MO, 63126",Episcopal,MO,
Christ Community Evangelical Free Church,314-843-4600,63126,"5293 S Lindbergh Blvd, St Louis, MO, 63126",Evangelical Free,MO,
Church of the Word,(314) 229-7923,63126,"4849 S Lindbergh Blvd, St. Louis, MO, 63126",Nondenominational,MO,
Concord Trinity United Methodist Church,314-842-2060,63126,"5275 S Lindbergh Blvd, St Louis, MO, 63126",United Methodist,MO,
Covenant Family Church,314-849-2118,63126,"9820 East Watson Rd, St Louis, MO, 63126",Nondenominational,MO,
Crestwood Baptist Church,314-843-1130,63126,"9916 E Watson Rd, St Louis, MO, 63126",Southern Baptist,MO,
Crestwood Christian Church,314-843-9069,63126,"11750 Eddie And Park Rd, St Louis, MO, 63126",Christian (Disciples of Christ),MO,
Divine Science Church Crestwood,314-843-5675,63126,"9525 Eddie And Park Rd, St Louis, MO, 63126",Interdenominational,MO,
Iglesia Metodista Unida La Trinidad,(314) 922-0040,63126,"5275 S Lindbergh Blvd, St Louis, MO, 63126",Methodist,MO,
Life In Christ Outreach,314-842-4797,63126,"4849 S Lindbergh Blvd, St Louis, MO, 63126",Nondenominational,MO,
Lutheran Church Of Webster Gardens,314-843-4062,63126,"9129 Rusticwood Trl, St Louis, MO, 63126",Lutheran,MO,
Oak Grove United Methodist Church,314-842-1688,63126,"9138 Saddlebrook Dr, St Louis, MO, 63126",United Methodist,MO,
Prince Of Peace Lutheran Church,314-843-8448,63126,"8646 New Sappington Rd, St Louis, MO, 63126",Lutheran - Missouri Synod,MO,
Providence Reformed Presbyterian Church,314-843-7994,63126,"9124 Sappington Rd, St Louis, MO, 63126",Presbyterian Church in America,MO,
Southgate Church,314-842-8679,63126,"9820 East Watson Rd, St Louis, MO, 63126",Nondenominational,MO,
Southminster Presbyterian Church,314-843-1133,63126,"10126 E Watson Rd, St Louis, MO, 63126",Presbyterian Church (U.S.A.),MO,
St Elizabeth Church,314-968-0760,63126,"1420 S Sappington Rd, St Louis, MO, 63126",Roman Catholic,MO,
St Justin Martyr Church,314-843-6447,63126,"11910 Eddie And Park Rd, St Louis, MO, 63126",Roman Catholic,MO,
St Lucas United Church Of Christ,314-843-2100,63126,"11735 Denny Rd, St Louis, MO, 63126",United Church of Christ,MO,
Faith Church St. Louis,(314) 635-2000,63127,"13001 Gravois Road, Sunset Hills, MO, 63127",Nondenominational,MO,
Jericho Christian Center,573-468-3964,63127,"Watson Road and South Lindbergh, St Louis, MO, 63127",Nondenominational,MO,
L C M S Foundation,314-965-9917,63127,"10733 Sunset Office Dr, St Louis, MO, 63127",Lutheran,MO,
St Louis Tamil Christian Fellowship,314-849-0077,63127,"9117 Fox Bridge Dr, St Louis, MO, 63127",Nondenominational,MO,
St. Thomas Holy Spirit Lutheran,314-843-6577,63127,"3980 S Lindbergh Blvd, St Louis, MO, 63127",Evangelical Lutheran in America,MO,
World View Community,636-225-3323,63127,"4646 S. Lindbergh Blvd, St Louis, MO, 63127",Foursquare Gospel,MO,
Abiding Savior Lutheran Church,314-894-9703,63128,"4355 Butler Hill Rd, St Louis, MO, 63128",Lutheran - Missouri Synod,MO,
Apostolic Faith Church,314-894-0239,63128,"4845 Towne Centre Dr, St Louis, MO, 63128",Apostolic,MO,
Apostolic Faith Church,314-894-6885,63128,"5000 Kerth Rd, St Louis, MO, 63128",Apostolic,MO,
Assumption Church,314-487-7970,63128,"4725 Mattis Rd, St Louis, MO, 63128",Roman Catholic,MO,
Church In Action,314-892-0000,63128,"6010 Kerth Road, St Louis, MO, 63128",Nondenominational,MO,
Church Of Latter Day Saints,314-487-9984,63128,"4511 Butler Hill Rd, St Louis, MO, 63128",Mormon,MO,
Concord Church,314-843-3500,63128,"13775 Tesson Ferry Rd, St Louis, MO, 63128",Baptist,MO,
Cornerstone Presbyterian Church,636-717-1761,63128,"6401 Hagemann Rd, St Louis, MO, 63128",Presbyterian Church in America,MO,
Crosspoint Church,314-892-5051,63128,"5001 Little Rock Road, St Louis, MO, 63128",Nondenominational,MO,
Everyones Community Church,314-849-4133,63128,"12620 Lamplighter Sqr Shppng Ctr, St Louis, MO, 63128",Congregational,MO,
First Unity Church,314-845-8540,63128,"4753 Butler Hill Rd, St Louis, MO, 63128",Other,MO,
Gloria Dei Free Lutheran Church,314-894-6018,63128,"10025 Kennerly Rd, St Louis, MO, 63128",Lutheran,MO,
Gospel Assembly Church,314-842-0487,63128,"13169 Tesson Ferry Rd, St Louis, MO, 63128",Nondenominational,MO,
Martin Luther Lutheran Church,314-843-2323,63128,"10151 Sappington Rd, St Louis, MO, 63128",Lutheran - Wisconsin Synod,MO,
Mary Mother Of The Church,314-894-1373,63128,"5901 Kerth Rd, St Louis, MO, 63128",Roman Catholic,MO,
Prince Of Peace United Church Christ,314-843-8461,63128,"4966 Towne South Rd, St Louis, MO, 63128",United Church of Christ,MO,
Resurrection Lutheran Church,314-843-6633,63128,"9907 Sappington Rd, St Louis, MO, 63128",Lutheran - Missouri Synod,MO,
South County Baptist Church,314-843-5558,63128,"St Louis, MO, 63128",Southern Baptist,MO,
South County Bible Church,314-487-6868,63128,"4111 Von Talge Rd, St Louis, MO, 63128",Other,MO,
South Side Church of God,314-842-3095,63128,"12145 Tesson Ferry Rd, St Louis, MO, 63128",Church of God (Anderson IN),MO,
Algabil Freedom Lodge 636,314-892-5119,63129,"4557 Lemay Ferry Rd, St Louis, MO, 63129",Other,MO,
Bread Of Life Outreach Ministry,314-973-9219,63129,"2886 Gladwood Dr, St Louis, MO, 63129",Nondenominational,MO,
Canaan Baptist Church,314-487-1730,63129,"5409 Baumgartner Rd, St Louis, MO, 63129",Southern Baptist,MO,
Faith Lutheran Church - Oakville Campus,(314) 846-2348,63129,"6101 Telegraph Road, St Louis, MO, 63129",Lutheran,MO,
Gloria Dei Lutheran Church,,63129,"4557 Lemay Ferry Road, St. Louis, Missouri, 63129",Lutheran,MO,
Good Shepherd Presbyterian Church,314-846-2988,63129,"6587 Telegraph Road, St Louis, MO, 63129",Presbyterian Church in America,MO,
Harvest Bible Chapel St. Louis South,314-223-7147,63129,"802 Kinswood Ln, St Louis, MO, 63129",Nondenominational,MO,
Heartland Baptist Church,314-293-7729,63129,"6829 Telegraph Rd, St Louis, MO, 63129",Southern Baptist,MO,
Jehovahs Witnesses,314-487-8579,63129,"4627 Baumgartner Rd, St Louis, MO, 63129",Jehovah's Witnesses,MO,
Lighthouse Fellowship Foursquare,314-487-5937,63129,"627 Forder Rd, St Louis, MO, 63129",Foursquare Gospel,MO,
Oakville First Baptist Church,314-846-8511,63129,"6741 Telegraph Rd, St Louis, MO, 63129",Southern Baptist,MO,
Queen Of All Saints Church,314-846-8207,63129,"6603 Christopher Dr, St Louis, MO, 63129",Roman Catholic,MO,
ROC Ministries,314-487-4843,63129,"802 Kinswood Lane, St Louis, MO, 63129",Southern Baptist,MO,
South County Foot Center,314-846-2199,63129,"5661 Telegraph Rd Ste A, St Louis, MO, 63129",Reformed,MO,
St Francis Of Assisi Church,314-487-5736,63129,"4556 Telegraph Rd, St Louis, MO, 63129",Roman Catholic,MO,
St Margaret Mary Church,314-487-2522,63129,"4900 Ringer Rd, St Louis, MO, 63129",Roman Catholic,MO,
St Pauls United Church Of Christ,314-892-3332,63129,"5508 Telegraph Rd, St Louis, MO, 63129",United Church of Christ,MO,
The Refuge,314-221-7146,63129,"4471 Baumgardner Road, St Louis, MO, 63129",Southern Baptist,MO,
White Flag Christian Church,314-846-2110,63129,"7531 Telegraph Rd, St Louis, MO, 63129",Nondenominational,MO,
Zion Baptist Missionary Church,314-846-1867,63129,"3485 Baumgartner Rd, St Louis, MO, 63129",Missionary Baptist,MO,
South County Church Of The Nazarene,314-846-1116,63151,"PO Box 510050, St Louis, MO, 63151",Nazarene,MO,
Valle View Church Of God,636-586-4466,63087,"PO Box 35, Valles Mines, MO, 63087",Church of God (Cleveland TN),MO,
New Life Church Of God,636-587-2764,63001,"PO Box 126, Allenton, MO, 63001",Church of God (Cleveland TN),MO,
St John Lutheran Church,573-484-3575,63013,"2149 Lutheran Church Rd, Beaufort, MO, 63013",Lutheran - Missouri Synod,MO,
St Jordan United Church Of Christ Jeffriesburg,573-583-3228,63013,"392 Saint Jordans Rd, Beaufort, MO, 63013",United Church of Christ,MO,
St Jrdans United Church Christ,636-583-3228,63013,"392 St Jordans Rd, Beaufort, MO, 63013",Other,MO,
Southwest Baptist Church,636-285-3788,63015,"4618 Highway Nn, Catawissa, MO, 63015",Baptist,MO,
St James Church,636-257-6038,63015,"1107 Summit Dr, Catawissa, MO, 63015",Roman Catholic,MO,
Union United Church Of Christ,636-271-4020,63015,"PO Box 208, Catawissa, MO, 63015",United Church of Christ,MO,
Cedar Hill First Baptist Church,636-285-2933,63016,"PO Box 169, Cedar Hill, MO, 63016",Southern Baptist,MO,
Cedar Hill Lutheran Church,636-274-4802,63016,"8600 Silver Ln, Cedar Hill, MO, 63016",Lutheran,MO,
First Presbyterian Church,636-285-2774,63016,"PO Box 28, Cedar Hill, MO, 63016",Presbyterian Church (U.S.A.),MO,
Jehovahs Witnesses,636-285-3117,63016,"6120 Highway 30, Cedar Hill, MO, 63016",Interdenominational,MO,
Morse Mill Church Of God,573-468-2745,63016,"8476 Lake Dr, Cedar Hill, MO, 63016",Church of God,MO,
Apostolic Pentecostal Church,636-586-3032,63020,"4521 State Route 110, De Soto, MO, 63020",Interdenominational,MO,
Beacon Baptist Church,636-586-6353,63020,"300 E Clement St, De Soto, MO, 63020",Baptist,MO,
Calvary Desoto Baptist Church,636-337-4275,63020,"PO Box 265, De Soto, MO, 63020",Southern Baptist,MO,
Christian Desoto Church,636-586-2061,63020,"4151 Fountain City Rd, De Soto, MO, 63020",Interdenominational,MO,
Church Of Christ,636-586-3383,63020,"PO Box 286, De Soto, MO, 63020",Church of Christ,MO,
Church Of The Nazarene,636-586-3597,63020,"820 N Main St, De Soto, MO, 63020",Nazarene,MO,
Desoto First Baptist Church,636-586-2500,63020,"400 Boyd St, De Soto, MO, 63020",Southern Baptist,MO,
Desoto Flucom United Methodist Church,636-586-5001,63020,"1114 S 3rd St, De Soto, MO, 63020",United Methodist,MO,
Emmanuel Desoto Baptist Church,636-586-6300,63020,"13302 State Road CC, De Soto, MO, 63020",Southern Baptist,MO,
Faith Agape Church,636-586-5148,63020,"3255 State Road V, De Soto, MO, 63020",Interdenominational,MO,
First Assembly Of God Church,314-586-2881,63020,"12633 State Route 21, De Soto, MO, 63020",Assemblies of God,MO,
First Church Of God,636-586-3211,63020,"300 W Mineral St, De Soto, MO, 63020",Church of God (Anderson IN),MO,
First Free Will Baptist Church,636-586-6788,63020,"1405 S 5th St, De Soto, MO, 63020",Baptist,MO,
First Pentecostal Church,636-586-1449,63020,"PO Box 147, De Soto, MO, 63020",Pentecostal,MO,
Full Gospel Temple Inc,636-586-1800,63020,"1118 Clarke St, De Soto, MO, 63020",Interdenominational,MO,
Grace Lutheran Church,636-586-2487,63020,"121 W Kelley St, De Soto, MO, 63020",Lutheran - Missouri Synod,MO,
Hope United Church Of Christ,636-586-6425,63020,"113 S 3rd St, De Soto, MO, 63020",United Church of Christ,MO,
Jehovahs Witnesses Hall,636-586-4833,63020,"4423 State Route 110, De Soto, MO, 63020",Jehovah's Witnesses,MO,
Landmark Baptist Missionary Church,636-586-3218,63020,"1215 Boyd St, De Soto, MO, 63020",Missionary Baptist,MO,
Liberty Fellowship Church Of God,636-586-6900,63020,"12312 State Route 21, De Soto, MO, 63020",Church of God (Cleveland TN),MO,
Bethlehem Baptist Church,636-944-3945,63023,"8325 State Road Y, Dittmer, MO, 63023",Southern Baptist,MO,
Community Of Christ,314-285-1462,63023,"7517 State Route 30, Dittmer, MO, 63023",Mormon,MO,
Dittmer Bible Church,636-629-6312,63023,"7721 Dittmer Rd, Dittmer, MO, 63023",Other,MO,
Morse Mill Baptist Church,636-285-2411,63023,"6955 State Road B, Dittmer, MO, 63023",Southern Baptist,MO,
St Martins United Church Of Christ,636-285-4797,63023,"7890 Dittmer Ridge Rd, Dittmer, MO, 63023",United Church of Christ,MO,
Bible Baptist Church,636-938-7114,63025,"17290 Hilltop Ridge Dr, Eureka, MO, 63025",Baptist,MO,
Calvary Community Bible Church,636-938-6162,63025,"86 Augustine Rd, Eureka, MO, 63025",Other,MO,
Central Baptist Church,636-938-5577,63025,"601 N Central Ave, Eureka, MO, 63025",Southern Baptist,MO,
Cornerstone Apostolic Church,636-259-9102,63025,"400 W. 4th St., Eureka, MO, 63025",Pentecostal,MO,
Eureka church of Christ,(314) 791-2098,63025,"15 Hilltop Village Center Drive, Eureka, MO, 63025",Nondenominational,MO,
Eureka United Methodist Church,636-938-6377,63025,"PO Box 67, Eureka, MO, 63025",United Methodist,MO,
Genesis Church,636-549-3189,63025,"P.O. Box 183, Eureka, MO, 63025",Southern Baptist,MO,
Heritage Reformed Presbyterian Church,636-938-3855,63025,"4000 Alt Rd, Eureka, MO, 63025",Presbyterian Church in America,MO,
Ignite Church,636-465-2687,63025,"1729 W 5th Street, Eureka, MO, 63025",Nondenominational,MO,
Lewis Chapel United Methodist Church,636-587-7116,63025,"587 Lewis Rd, Crescent, MO, 63025",United Methodist,MO,
Sacred Heart Church,636-938-5048,63025,"350 E 4th St, Eureka, MO, 63025",Roman Catholic,MO,
Seeking His Face Ministries,636.851.9673,63025,"113 Hilltop Village Center Drive #B, Eureka, MO, 63025",Nondenominational,MO,
St Mark Lutheran Church,636-938-4432,63025,"500 Meramec Blvd, Eureka, MO, 63025",Lutheran - Missouri Synod,MO,
Word Of Faith Fellowship,636-938-6107,63025,"104 Wengler Rd, Eureka, MO, 63025",Charismatic,MO,
Apple of His Eye Mission Society,636-326-4040,63026,"300 Biltmore Dr, Fenton, MO, 63026",Nondenominational,MO,
Arise Church,636-429-2901,63026,"639 Gravois Bluffs Blvd, Ste I, Fenton, MO, 63026",Nondenominational,MO,
Calvary Fellowship Free Will Baptist Church,636-225-4684,63026,"1811 Smizer Station Rd, Fenton, MO, 63026",Baptist,MO,
Catholic Good News,636-225-1639,63026,"1803 Charity Ct, Fenton, MO, 63026",Roman Catholic,MO,
Church Of Christ,636-326-1440,63026,"PO Box 191, Fenton, MO, 63026",Church of Christ,MO,
Church Of God Of Prophecy,636-343-4905,63026,"801 Hawkins Rd, Fenton, MO, 63026",Church  of God of Prophecy,MO,
Church Of Latter Day Saints,636-225-7145,63026,"1175 Piedras Pkwy, Fenton, MO, 63026",Mormon,MO,
Church Of The Nazarene,636-343-6696,63026,"365 Saline Rd, Fenton, MO, 63026",Nazarene,MO,
Discovery Christian Church,636-203-9609,63026,"754 Gravois Bluffs Blvd., Fenton, MO, 63026",Christian (Disciples of Christ),MO,
Fenton Congregation of Jehovahs Witnesses,636-717-1125,63026,"315 Fenton View Dr, Fenton, MO, 63026",Jehovah's Witnesses,MO,
Fenton Crossing Bible Chapel,636-326-4769,63026,"855 Gregory Ln, Fenton, MO, 63026",Plymouth Brethren,MO,
Fenton First Baptist Church,636-343-1132,63026,"650 Oakwood Dr, Fenton, MO, 63026",Southern Baptist,MO,
Fenton United Methodist Church,636-343-5010,63026,"800 Gravois Rd, Fenton, MO, 63026",United Methodist,MO,
Hermitage Hills Baptist Church,636-343-0252,63026,"1201 Saline Rd, Fenton, MO, 63026",Baptist,MO,
Holy Cross Lutheran Church,314-533-6035,63026,"90 W Lakewood Dr, Fenton, MO, 63026",Lutheran - Missouri Synod,MO,
Meadowbrook Christian Church,314-558-0593,63026,"1525 Bowles Ave, Fenton, MO, 63026",Christian (Disciples of Christ),MO,
Messenger Church,636-343-2255,63026,"602 Summit Rd, Fenton, MO, 63026",Pentecostal,MO,
Mt. Olive General Baptist Church,636-225-0955,63026,"1849 Hawkins Place, Fenton, MO, 63026",General Baptist,MO,
Murphy First Baptist Church,636-343-8674,63026,"203 Old Sugar Creek Rd, Fenton, MO, 63026",Southern Baptist,MO,
New Hope Fellowship,636-343-8001,63026,"19 New Sugar Creek Rd, Fenton, MO, 63026",Assemblies of God,MO,
Oak Grove Baptist Church,573-678-2449,63030,"PO Box 90, Fletcher, MO, 63030",Southern Baptist,MO,
Oak Grove Baptist Church,573-678-2868,63030,"10012 Kirkpatrick Rd, Fletcher, MO, 63030",Baptist,MO,
Boeuff Presbyterian Church,573-764-3998,63037,"PO Box 21, Gerald, MO, 63037",Presbyterian Church (U.S.A.),MO,
Calvary New Life Tabernacle Church,573-764-5173,63037,"109 W Flottmann Rd, Gerald, MO, 63037",United Pentecostal,MO,
Ebenezer Stone United Church Of Christ,573-764-5639,63037,"PO Box 67, Gerald, MO, 63037",United Church of Christ,MO,
Ebenezer United Church Of Christ,573-764-3574,63037,"PO Box 1, Gerald, MO, 63037",Other,MO,
Friendly Assembly Of God Church,573-764-2465,63037,"PO Box 157, Gerald, MO, 63037",Assemblies of God,MO,
Gerald First Baptist Church,573-764-2505,63037,"PO Box 56, Gerald, MO, 63037",Southern Baptist,MO,
New Friendship Baptist Church,573-764-2614,63037,"8809 Red Oak Rd, Gerald, MO, 63037",Southern Baptist,MO,
St Geralds Church Assembly Hall,573-764-3306,63037,"RR 2, Gerald, MO, 63037",Roman Catholic,MO,
St Pauls United Church Of Christ,573-764-2636,63037,"PO Box 177, Gerald, MO, 63037",United Church of Christ,MO,
First Evangelical Free Church,636-742-4118,63039,"PO Box 29, Gray Summit, MO, 63039",Evangelical Free,MO,
Gray Summit First Baptist Church,636-742-4350,63039,"PO Box 68, Gray Summit, MO, 63039",Southern Baptist,MO,
Gray Summit United Methodist Church,636-742-4336,63039,"PO Box 97, Gray Summit, MO, 63039",United Methodist,MO,
New Beginnings Lutheran Church,636-346-6207,63039,"2685 Highway 100, Gray Summit, MO, 63039",Lutheran,MO,
Fairview United Methodist Church,636-285-3330,63041,"7998 Fairview Church Rd, Grubville, MO, 63041",Methodist,MO,
Grubville Baptist Church,636-285-2715,63041,"PO Box 67, Grubville, MO, 63041",Southern Baptist,MO,
Bread Of Life Outreach Ministries,636-677-0739,63049,"2745 High Ridge Blvd Ste 15, High Ridge, MO, 63049",Nondenominational,MO,
Church Of Christ High Ridge,636-677-3489,63049,"PO Box 96, High Ridge, MO, 63049",Christian (Disciples of Christ),MO,
Family Foursquare Church,636-677-4111,63049,"2520 Hillsboro Valley Park Rd, High Ridge, MO, 63049",Interdenominational,MO,
Fellowship First Baptist Church,636-677-3014,63049,"2735 High Ridge Blvd, High Ridge, MO, 63049",Southern Baptist,MO,
Hope Lutheran Church,636-677-8788,63049,"2308 Gravois Rd, High Ridge, MO, 63049",Lutheran - Missouri Synod,MO,
St Anthony Of Padua Church,636-677-4868,63049,"3009 High Ridge Blvd, High Ridge, MO, 63049",Roman Catholic,MO,
St Martin United Church Of Christ,636-677-5602,63049,"3229 High Ridge Blvd., High Ridge, MO, 63049",United Church of Christ,MO,
Church Of Christ,636-671-6617,63051,"6979 Wild Cherry Dr, House Springs, MO, 63051",Church of Christ,MO,
Church Of The Nazarene,636-671-1316,63051,"4201 Gravois Rd, House Springs, MO, 63051",Nazarene,MO,
Faith Community Church,636-671-4190,63051,"4824 Scottsdale Rd, House Springs, MO, 63051",Assemblies of God,MO,
Faith United Methodist Church,636-671-0876,63051,"4869 Scottsdale, House Springs, MO, 63051",United Methodist,MO,
Friendship Baptist Church,636-375-5383,63051,"4080 Carol Park Rd, House Springs, MO, 63051",Baptist,MO,
Good News Church,636-671-4090,63051,"5608 Mark Trl, House Springs, MO, 63051",Nondenominational,MO,
Harmony Baptist Church,636-942-2325,63051,"5326 Heads Creek Rd., House Springs, MO, 63051",Southern Baptist,MO,
Highcrest United Methodist Church,314-448-2743,63051,"4150 Highway M, House Springs, MO, 63051",United Methodist,MO,
House Springs First Baptist Church,636-671-1134,63051,"4375 Gravois Rd, House Springs, MO, 63051",Southern Baptist,MO,
Lakeview Christian Church,636-677-8060,63051,"3774 Hess Rd, House Springs, MO, 63051",Church of Christ,MO,
Our Lady Queen Of Peace Church,636-671-3062,63051,"4696 Notre Dame Dr, House Springs, MO, 63051",Roman Catholic,MO,
Soul Harvest Church Of God,636-375-9915,63051,"4568 Church Rd, House Springs, MO, 63051",Church of God (Cleveland TN),MO,
St John Chrysostom Russian Orthodox Church,636 677-1116,63051,"3774 Gravois Rd, House Springs, MO, 63051",Russian Orthodox,MO,
Timberridge Community Church,636-285-9722,63051,"5642 Gravois Rd, House Springs, MO, 63051",Community,MO,
Whole Truth Tabernacle,314-274-0430,63051,"PO Box 509, House Springs, MO, 63051",United Pentecostal,MO,
Whole Truth Tabernacle,636-671-0999,63051,"4024 Byrnesville Rd, House Springs, MO, 63051",Interdenominational,MO,
Pilgrim United Church of Christ,636-742-4559,63055,"PO Box 162, Labadie, MO, 63055",United Church of Christ,MO,
Antioch Christian Church,573-484-3738,63056,"6913 Highway Cc, Leslie, MO, 63056",Church of Christ,MO,
Casco United Methodist Church,573-459-6574,63056,"RR 1, Leslie, MO, 63056",Methodist,MO,
Church Of Latter Day Saints,573-239-7718,63056,"133 Toelke Ln, Leslie, MO, 63056",Mormon,MO,
Ebenezer Lutheran Church,573-459-6432,63056,"9100 Highway Yy, Leslie, MO, 63056",Lutheran - Missouri Synod,MO,
Leslie Baptist Church,573-484-3855,63056,"4611 Highway 50, Leslie, MO, 63056",Southern Baptist,MO,
Leslie United Methodist Church,573-484-3123,63056,"PO Box 2987, Leslie, MO, 63056",United Methodist,MO,
St Johns At Casco United Church Of Christ,573-484-4260,63056,"245 Saint Johns Er Church Rd, Leslie, MO, 63056",United Church of Christ,MO,
Antioch Church Of God Pentecostal,636-629-5588,63060,"3877 Yellow Dog Rd, Lonedell, MO, 63060",Pentecostal,MO,
Bethel Baptist Missionary Church,636-629-2978,63077,"513 Bethel Church Rd, St Clair, MO, 63077",Missionary Baptist,MO,
Elmwood Baptist Missionary Church,636-629-2020,63060,"2310 Elmwood Church Rd, Lonedell, MO, 63060",Missionary Baptist,MO,
Oak Grove Baptist Church,636-629-0297,63060,"6118 Oak Grove Church Rd, Lonedell, MO, 63060",Southern Baptist,MO,
Prospect Baptist Church,636-629-0241,63060,"9137 Rye Creek Rd, Lonedell, MO, 63060",Baptist,MO,
St Francis Of Assisi Church,636-629-1717,63061,"1000 Luebbering Rd, Luebbering, MO, 63061",Roman Catholic,MO,
Virginia Mines Baptist Church,636-629-5102,63060,"8255 Rye Creek Rd, Lonedell, MO, 63060",Southern Baptist,MO,
Assembly Of God Church,573-237-2062,63068,"104 Arizona St, New Haven, MO, 63068",Assemblies of God,MO,
Bethlehem Lutheran Church,573-237-2602,63068,"3825 Boeuf Lutheran Rd, New Haven, MO, 63068",Lutheran - Missouri Synod,MO,
Celebration Baptist Church,573-237-4906,63068,"303 Roberta St, New Haven, MO, 63068",Southern Baptist,MO,
Friendship Southern Baptist Church,573-237-2626,63068,"1010 Olive St, New Haven, MO, 63068",Southern Baptist,MO,
Friendship Sthern Baptist Church,573-237-6200,63068,"PO Box 17, New Haven, MO, 63068",Baptist,MO,
Holy Family Church,573-459-6441,63068,"124 Holy Family Church Rd, New Haven, MO, 63068",Roman Catholic,MO,
Immanuel United Methodist Church,573-237-3165,63068,"PO Box 261, New Haven, MO, 63068",United Methodist,MO,
Memorial Baptist Church,573-237-2154,63068,"205 Sunset Ln, New Haven, MO, 63068",Southern Baptist,MO,
New Beginnings Worship Center,573-237-2644,63068,"PO Box 263, New Haven, MO, 63068",United Pentecostal,MO,
Olive Branch Church,573-237-4041,63068,"802 Olive St, New Haven, MO, 63068",Pentecostal,MO,
Port Hudson Lutheran Church,573-459-6431,63068,"9086 Highway YY, New Haven, MO, 63068",Lutheran,MO,
St James United Church Of Christ,573-237-3190,63068,"4310 Highway E, New Haven, MO, 63068",Nondenominational,MO,
St Paul Church,573-237-3372,63068,"603 Miller St, New Haven, MO, 63068",Roman Catholic,MO,
St Peters United Church Of Christ,573-237-2182,63068,"607 Maupin Ave, New Haven, MO, 63068",United Church of Christ,MO,
Trinity Lutheran Church,573-237-3026,63068,"PO Box 267, New Haven, MO, 63068",Lutheran - Missouri Synod,MO,
Church Of Christ,636-257-2947,63069,"112 N Payne St, Pacific, MO, 63069",Church of Christ,MO,
Crestview Christian Temple,(636) 257-4101,63069,"3953 Hwy NN, Pacific, MO, 63069",Pentecostal,MO,
Faith Fellowship Church,636-257-5006,63069,"530 E. Osage St., Pacific, MO, 63069",Nondenominational,MO,
First Assembly Of God Church,314-742-4543,63069,"2289 Woodlock Dr, Pacific, MO, 63069",Assemblies of God,MO,
First Baptist Church,636-257-2744,63069,"18552 S Fox Creek Ln, Pacific, MO, 63069",Baptist,MO,
First Christian Church,636-257-2773,63069,"422 W Saint Louis St, Pacific, MO, 63069",Church of Christ,MO,
Jehovahs Witnesses Kingdom Hall,636-257-2121,63069,"100 W Flier Dr, Pacific, MO, 63069",Jehovah's Witnesses,MO,
Lighthouse United Pentecostal Church,636-257-5498,63069,"1969 Hogan Road, Pacific, MO, 63069",United Pentecostal,MO,
Mission Community Church,636-271-7111,63069,"316 East Central, Pacific, MO, 63069",Nondenominational,MO,
Pacific Assembly Of God Church,636-271-3736,63069,"1995 Highway N, Pacific, MO, 63069",Assemblies of God,MO,
Pacific Baptist Church,636-257-2661,63069,"523 W Saint Louis St, Pacific, MO, 63069",Southern Baptist,MO,
Pacific Presbyterian Church,636-257-2742,63069,"410 W Saint Louis St, Pacific, MO, 63069",Presbyterian Church (U.S.A.),MO,
Pacific United Methodist Church,636-257-3426,63069,"1516 W Saint Louis St, Pacific, MO, 63069",United Methodist,MO,
Rock Family Church,636-393-0049,63069,"PO Box 225, Pacific, MO, 63069",Nondenominational,MO,
Rockwood Harvest Assembly Of God Church,314-458-2592,63069,"18810 Highway 100, Pacific, MO, 63069",Assemblies of God,MO,
St Bridgets Church,636-271-3993,63069,"111 W Union St, Pacific, MO, 63069",Roman Catholic,MO,
The Bridge,636-451-4200,63069,"973 Warrens Way, Pacific, MO, 63069",Christian,MO,
Book Of Acts Methodist Church,573-678-2680,63071,"10936 Clear Creek Rd, Richwoods, MO, 63071",Methodist,MO,
Church Apostolic,573-678-2300,63071,"10538 Butler Hill Rd, Richwoods, MO, 63071",Interdenominational,MO,
Grossroads Baptist Church,636-629-3618,63071,"Hc 63 Box 456, Richwoods, MO, 63071",Southern Baptist,MO,
Richwood Free Will Baptist Church,573-678-2321,63071,"PO Box 36, Richwoods, MO, 63071",Baptist,MO,
